Step,Value
9651,-0.206549123
9656,-0.161777541
9657,-0.180503249
9661,-0.291305542
9680,-0.072592422
9681,-0.248456091
9690,-0.268259257
9698,-0.198946208
9710,-0.13429451
9747,-0.153935879
9750,-0.153328463
9759,-0.247135192
9760,-0.221172422
9766,-0.184396461
9768,-0.312131256
9777,-0.245530441
9812,-0.166424528
9817,-0.1898458
9840,-0.251555651
9843,-0.15328455
9846,-0.207882524
9855,-0.306622952
9883,-0.226761416
9907,-0.264553845
9917,-0.271021038
9972,-0.220753342
9978,-0.226027966
9982,-0.208286136
9985,-0.181922317
9989,-0.266803354
